Date,Date,Date.2,Date.1,Close,High,Low,Open,Volume
637,637,638,2022-07-08,0.6673310249455666,0.6693362952829338,0.6762821298776247,0.6809187839927593,0.1232645604708868
638,638,639,2022-07-11,0.6666949473811752,0.6648241440670317,0.6727816209588164,0.6645979368506394,0.0692743414406737
639,639,640,2022-07-12,0.6838777643461422,0.667330868844638,0.6773961671450079,0.6637817489536391,0.1390813930938898
640,640,641,2022-07-13,0.6997878810119262,0.6798653740410243,0.6875803396618507,0.6768386002596296,0.1612250067526013
641,641,642,2022-07-14,0.6773546642155805,0.6751858951774612,0.6871030410810066,0.6734112593197605,0.1324494178726825
642,642,643,2022-07-15,0.6781500678294199,0.6571360520763496,0.6598920039219629,0.6557844319349293,0.1425768502412491
643,643,644,2022-07-18,0.6935827515172603,0.6758541686355592,0.6859889080068824,0.6859781887771574,0.0898985223334902
644,644,645,2022-07-19,0.7048793636716573,0.6858822197109382,0.6977649205155427,0.6869579488434732,0.082025196155345
645,645,646,2022-07-20,0.7219029908797763,0.7087784733004565,0.7259304051147961,0.7135609988668961,0.0854614499495032
646,646,647,2022-07-21,0.7473593138376311,0.7306720855678321,0.7249756171226982,0.7168251084070492,0.1385399853269258
647,647,648,2022-07-22,0.7502232302422923,0.7425382117001449,0.7482084802410096,0.7355944531884544,0.2492140260001692
648,648,649,2022-07-25,0.7386086474519997,0.7341817263691799,0.7474126872354918,0.7442445000538236,0.0792869660908745
649,649,650,2022-07-26,0.7331994667415731,0.7244886578495155,0.7407295286004656,0.7346153522610497,0.0551141829940257
650,650,651,2022-07-27,0.767724426720955,0.7590839615441017,0.7412068021468667,0.721884834917552,0.1122037305550425
651,651,652,2022-07-28,0.7834753536298912,0.7729553334197071,0.783375836884979,0.7703583397601796,0.1769949325648614
652,652,653,2022-07-29,0.7974762835543013,0.792425730154633,0.7991295690080775,0.7837416374532307,0.1662742670016045
653,653,654,2022-08-01,0.8024087127497844,0.7876628628712837,0.783057719007189,0.7899437982819586,0.1214089822223787
654,654,655,2022-08-02,0.8165686961384425,0.8075508904168293,0.8043809744663661,0.7950032271077065,0.0932682548321063
655,655,656,2022-08-03,0.792703316700866,0.792175062723954,0.8013573748178826,0.7992466240187799,0.1002229393139237
656,656,657,2022-08-04,0.813863969490629,0.802871311575149,0.8113826537001982,0.7963089170248154,0.093954761800077
657,657,658,2022-08-05,0.8076589762885632,0.8023699132365943,0.8155198802376014,0.804795787686353,0.0720309263441305
658,658,659,2022-08-08,0.8265920628232565,0.8179128451020273,0.8139286754909292,0.7964721879498442,0.0786915735033623
659,659,660,2022-08-09,0.8055904634977412,0.8083863968975319,0.8093137565033244,0.814588417677715,0.1366668920033065
660,660,661,2022-08-10,0.8011358761580017,0.7971891371407466,0.7984932364387753,0.799736427569731,0.1517462319944878
661,661,662,2022-08-11,0.7987493927312842,0.8057127514185406,0.800402892495437,0.8016950714380229,0.1424400886958605
662,662,663,2022-08-12,0.7906350764952442,0.7754624746440207,0.788945509965645,0.7812936283887482,0.1422274484860347
663,663,664,2022-08-15,0.7925443995292184,0.78732857901087,0.8000846549702345,0.7858635700352894,0.0691809477011254
664,664,665,2022-08-16,0.8084545161950024,0.7988603590417566,0.8062906071839415,0.7967986007996688,0.098282544914021
665,665,666,2022-08-17,0.8126786327480727,0.8127862100953006,0.8249960960422873,0.8200068910917142,0.1829314633311405
666,666,667,2022-08-18,0.8349361683829656,0.8235377225139154,0.8259709969048681,0.8128404818445678,0.1476167531213573
667,667,668,2022-08-19,0.8180398384632849,0.8237084032280647,0.8238586308931917,0.830839808030164,0.1832521931483305
668,668,669,2022-08-22,0.8019559487324485,0.8015227560390087,0.8118341872592372,0.8018408821776652,0.0867482681219694
669,669,670,2022-08-23,0.7704380123877709,0.7824943036958004,0.7827483064103633,0.788341650602445,0.1201919844178214
